Team,Season,FG%,3P%,2P%,FT%,PTS
Milwaukee Bucks*,2018-2019,0.476,0.353,0.565,0.773,118.1
Golden State Warriors*,2018-2019,0.491,0.385,0.557,0.801,117.7
New Orleans Pelicans,2018-2019,0.473,0.344,0.536,0.761,115.4
Philadelphia 76ers*,2018-2019,0.471,0.359,0.529,0.771,115.2
Los Angeles Clippers*,2018-2019,0.471,0.388,0.507,0.792,115.1
Portland Trail Blazers*,2018-2019,0.467,0.359,0.523,0.814,114.7
Oklahoma City Thunder*,2018-2019,0.454,0.348,0.51,0.713,114.5
Toronto Raptors*,2018-2019,0.474,0.366,0.539,0.804,114.4
Sacramento Kings,2018-2019,0.464,0.378,0.504,0.726,114.2
Washington Wizards,2018-2019,0.468,0.341,0.543,0.768,114
Houston Rockets*,2018-2019,0.449,0.356,0.551,0.791,113.9
Atlanta Hawks,2018-2019,0.451,0.352,0.518,0.752,113.3
Minnesota Timberwolves,2018-2019,0.456,0.351,0.504,0.787,112.5
Boston Celtics*,2018-2019,0.465,0.365,0.527,0.802,112.4
Brooklyn Nets*,2018-2019,0.449,0.353,0.513,0.745,112.2
Los Angeles Lakers,2018-2019,0.47,0.333,0.541,0.699,111.8
Utah Jazz*,2018-2019,0.468,0.356,0.541,0.736,111.7
San Antonio Spurs*,2018-2019,0.478,0.392,0.513,0.819,111.7
Charlotte Hornets,2018-2019,0.448,0.351,0.507,0.797,110.7
Denver Nuggets*,2018-2019,0.466,0.351,0.527,0.755,110.7
Dallas Mavericks,2018-2019,0.447,0.34,0.524,0.742,108.9
Indiana Pacers*,2018-2019,0.475,0.374,0.517,0.752,108
Phoenix Suns,2018-2019,0.459,0.329,0.525,0.779,107.5
Orlando Magic*,2018-2019,0.454,0.356,0.509,0.782,107.3
Detroit Pistons*,2018-2019,0.44,0.348,0.5,0.747,107
Miami Heat,2018-2019,0.45,0.349,0.509,0.695,105.7
Chicago Bulls,2018-2019,0.453,0.351,0.496,0.783,104.9
New York Knicks,2018-2019,0.433,0.34,0.479,0.759,104.6
Cleveland Cavaliers,2018-2019,0.444,0.355,0.488,0.792,104.5
Memphis Grizzlies,2018-2019,0.45,0.342,0.505,0.772,103.5
League Average,2018-2019,0.461,0.355,0.52,0.766,111.2
Golden State Warriors*,2017-2018,0.503,0.391,0.56,0.815,113.5
Houston Rockets*,2017-2018,0.46,0.362,0.558,0.781,112.4
New Orleans Pelicans*,2017-2018,0.483,0.362,0.54,0.772,111.7
Toronto Raptors*,2017-2018,0.472,0.358,0.541,0.794,111.7
Cleveland Cavaliers*,2017-2018,0.476,0.372,0.54,0.779,110.9
Denver Nuggets,2017-2018,0.47,0.371,0.525,0.767,110
Philadelphia 76ers*,2017-2018,0.472,0.369,0.526,0.752,109.8
Minnesota Timberwolves*,2017-2018,0.476,0.357,0.519,0.804,109.5
Los Angeles Clippers,2017-2018,0.471,0.354,0.525,0.743,109
Charlotte Hornets,2017-2018,0.45,0.369,0.487,0.747,108.2
Los Angeles Lakers,2017-2018,0.461,0.345,0.517,0.714,108.1
Oklahoma City Thunder*,2017-2018,0.453,0.354,0.505,0.716,107.9
Washington Wizards*,2017-2018,0.467,0.375,0.508,0.772,106.6
Brooklyn Nets,2017-2018,0.441,0.356,0.5,0.772,106.6
Milwaukee Bucks*,2017-2018,0.478,0.355,0.531,0.783,106.5
Portland Trail Blazers*,2017-2018,0.452,0.366,0.493,0.8,105.6
Indiana Pacers*,2017-2018,0.472,0.369,0.513,0.779,105.6
New York Knicks,2017-2018,0.464,0.352,0.504,0.787,104.5
Utah Jazz*,2017-2018,0.462,0.366,0.515,0.779,104.1
Boston Celtics*,2017-2018,0.45,0.377,0.491,0.771,104
Phoenix Suns,2017-2018,0.442,0.334,0.492,0.741,103.9
Detroit Pistons,2017-2018,0.45,0.373,0.488,0.745,103.8
Miami Heat*,2017-2018,0.455,0.36,0.508,0.755,103.4
Orlando Magic,2017-2018,0.452,0.351,0.504,0.757,103.4
Atlanta Hawks,2017-2018,0.446,0.36,0.495,0.785,103.4
Chicago Bulls,2017-2018,0.435,0.355,0.478,0.759,102.9
San Antonio Spurs*,2017-2018,0.457,0.352,0.499,0.772,102.7
Dallas Mavericks,2017-2018,0.444,0.36,0.496,0.763,102.3
Memphis Grizzlies,2017-2018,0.444,0.352,0.486,0.786,99.3
Sacramento Kings,2017-2018,0.45,0.375,0.479,0.735,98.8
League Average,2017-2018,0.46,0.362,0.51,0.767,106.3
Golden State Warriors*,2016-2017,0.495,0.383,0.557,0.788,115.9
Houston Rockets*,2016-2017,0.462,0.357,0.552,0.766,115.3
Denver Nuggets,2016-2017,0.469,0.368,0.519,0.774,111.7
Cleveland Cavaliers*,2016-2017,0.47,0.384,0.528,0.748,110.3
Washington Wizards*,2016-2017,0.475,0.372,0.515,0.784,109.2
Los Angeles Clippers*,2016-2017,0.475,0.375,0.525,0.745,108.7
Boston Celtics*,2016-2017,0.454,0.359,0.515,0.807,108
Portland Trail Blazers*,2016-2017,0.459,0.375,0.499,0.78,107.9
Phoenix Suns,2016-2017,0.45,0.332,0.491,0.776,107.7
Toronto Raptors*,2016-2017,0.464,0.363,0.505,0.796,106.9
Oklahoma City Thunder*,2016-2017,0.452,0.327,0.504,0.745,106.6
Brooklyn Nets,2016-2017,0.444,0.338,0.506,0.788,105.8
Minnesota Timberwolves,2016-2017,0.467,0.349,0.507,0.799,105.6
San Antonio Spurs*,2016-2017,0.469,0.391,0.5,0.797,105.3
Indiana Pacers*,2016-2017,0.465,0.376,0.498,0.81,105.1
Charlotte Hornets,2016-2017,0.442,0.351,0.488,0.815,104.9
Los Angeles Lakers,2016-2017,0.45,0.346,0.493,0.754,104.6
New Orleans Pelicans,2016-2017,0.45,0.35,0.495,0.75,104.3
New York Knicks,2016-2017,0.447,0.348,0.485,0.788,104.3
Milwaukee Bucks*,2016-2017,0.474,0.37,0.516,0.768,103.6
Miami Heat,2016-2017,0.455,0.365,0.496,0.706,103.2
Atlanta Hawks*,2016-2017,0.451,0.341,0.501,0.728,103.2
Chicago Bulls*,2016-2017,0.444,0.34,0.479,0.798,102.9
Sacramento Kings,2016-2017,0.461,0.376,0.496,0.775,102.8
Philadelphia 76ers,2016-2017,0.442,0.34,0.496,0.771,102.4
Detroit Pistons,2016-2017,0.449,0.33,0.492,0.719,101.3
Orlando Magic,2016-2017,0.44,0.328,0.488,0.747,101.1
Utah Jazz*,2016-2017,0.466,0.372,0.511,0.747,100.7
Memphis Grizzlies*,2016-2017,0.435,0.354,0.473,0.784,100.5
Dallas Mavericks,2016-2017,0.44,0.355,0.489,0.801,97.9
League Average,2016-2017,0.457,0.358,0.503,0.772,105.6
Golden State Warriors*,2015-2016,0.487,0.416,0.528,0.763,114.9
Oklahoma City Thunder*,2015-2016,0.476,0.349,0.524,0.782,110.2
Sacramento Kings,2015-2016,0.464,0.359,0.5,0.725,106.6
Houston Rockets*,2015-2016,0.452,0.347,0.514,0.694,106.5
Boston Celtics*,2015-2016,0.439,0.335,0.483,0.788,105.7
Portland Trail Blazers*,2015-2016,0.45,0.37,0.49,0.754,105.1
Los Angeles Clippers*,2015-2016,0.465,0.364,0.513,0.692,104.5
Cleveland Cavaliers*,2015-2016,0.46,0.362,0.514,0.748,104.3
Washington Wizards,2015-2016,0.46,0.358,0.501,0.73,104.1
San Antonio Spurs*,2015-2016,0.484,0.375,0.515,0.803,103.5
Charlotte Hornets*,2015-2016,0.439,0.362,0.479,0.79,103.4
Atlanta Hawks*,2015-2016,0.458,0.35,0.512,0.783,102.8
New Orleans Pelicans,2015-2016,0.448,0.36,0.482,0.776,102.7
Toronto Raptors*,2015-2016,0.451,0.37,0.483,0.777,102.7
Minnesota Timberwolves,2015-2016,0.464,0.338,0.496,0.792,102.4
Dallas Mavericks*,2015-2016,0.444,0.344,0.495,0.794,102.3
Indiana Pacers*,2015-2016,0.45,0.351,0.486,0.764,102.2
Orlando Magic,2015-2016,0.455,0.35,0.492,0.757,102.1
Detroit Pistons*,2015-2016,0.439,0.345,0.48,0.668,102
Denver Nuggets,2015-2016,0.442,0.338,0.482,0.766,101.9
Chicago Bulls,2015-2016,0.441,0.371,0.464,0.787,101.6
Phoenix Suns,2015-2016,0.435,0.348,0.472,0.751,100.9
Miami Heat*,2015-2016,0.47,0.336,0.508,0.744,100
Memphis Grizzlies*,2015-2016,0.44,0.331,0.471,0.783,99.1
Milwaukee Bucks,2015-2016,0.467,0.345,0.495,0.747,99
Brooklyn Nets,2015-2016,0.453,0.352,0.481,0.757,98.6
New York Knicks,2015-2016,0.439,0.346,0.471,0.805,98.4
Utah Jazz,2015-2016,0.449,0.355,0.488,0.744,97.7
Philadelphia 76ers,2015-2016,0.431,0.339,0.476,0.694,97.4
Los Angeles Lakers,2015-2016,0.414,0.317,0.454,0.781,97.3
League Average,2015-2016,0.452,0.354,0.491,0.757,102.7
Golden State Warriors*,2014-2015,0.478,0.398,0.514,0.768,110
Los Angeles Clippers*,2014-2015,0.473,0.376,0.519,0.71,106.7
Dallas Mavericks*,2014-2015,0.463,0.352,0.509,0.752,105.2
Toronto Raptors*,2014-2015,0.455,0.352,0.499,0.787,104
Oklahoma City Thunder,2014-2015,0.447,0.339,0.486,0.754,104
Houston Rockets*,2014-2015,0.444,0.348,0.506,0.715,103.9
San Antonio Spurs*,2014-2015,0.468,0.367,0.505,0.78,103.2
Cleveland Cavaliers*,2014-2015,0.458,0.367,0.504,0.751,103.1
Portland Trail Blazers*,2014-2015,0.45,0.362,0.491,0.801,102.8
Atlanta Hawks*,2014-2015,0.466,0.38,0.506,0.778,102.5
Phoenix Suns,2014-2015,0.452,0.341,0.497,0.76,102.4
Denver Nuggets,2014-2015,0.433,0.325,0.476,0.734,101.5
Boston Celtics*,2014-2015,0.443,0.327,0.488,0.754,101.4
Sacramento Kings,2014-2015,0.455,0.341,0.484,0.762,101.3
Chicago Bulls*,2014-2015,0.442,0.353,0.474,0.783,100.8
New Orleans Pelicans*,2014-2015,0.457,0.37,0.484,0.751,99.4
Washington Wizards*,2014-2015,0.462,0.36,0.488,0.742,98.5
Detroit Pistons,2014-2015,0.432,0.344,0.468,0.703,98.5
Los Angeles Lakers,2014-2015,0.435,0.344,0.461,0.741,98.5
Memphis Grizzlies*,2014-2015,0.458,0.339,0.485,0.773,98.3
Brooklyn Nets*,2014-2015,0.451,0.331,0.489,0.748,98
Milwaukee Bucks*,2014-2015,0.459,0.363,0.486,0.757,97.8
Minnesota Timberwolves,2014-2015,0.438,0.332,0.461,0.776,97.8
Indiana Pacers,2014-2015,0.439,0.352,0.469,0.756,97.3
Orlando Magic,2014-2015,0.453,0.347,0.486,0.729,95.7
Utah Jazz,2014-2015,0.447,0.343,0.486,0.721,95.1
Miami Heat,2014-2015,0.456,0.335,0.499,0.741,94.7
